IndiaCapitals,	
Answer,Question
Hyderabad,What is the capital of Andhra Pradesh ?
Itanagar,What is the capital of Arunachal Pradesh?
Dispur,What is the capital of Assam?
Patna,What is the capital of Bihar?
Naya Raipur,What is the capital of Chhattisgarh?
Panaji,What is the capital of Goa?
Gandhinagar,What is the capital of Gujarat?
Chandigarh,What is the capital of Haryana?
Shimla (Summer),What is the capital of Himachal Pradesh?
Srinagar (Summer),Jammu and Kashmir?
Ranchi,What is the capital of Jharkhand?
Bangalore,What is the capital of Karnataka?
Thiruvananthapuram,What is the capital of Kerala?
Bhopal,What is the capital of Madhya Pradesh?
Mumbai,What is the capital of Maharashtra?
Imphal,What is the capital of Manipur?
Shillong,What is the capital of Meghalaya?
Aizawl,What is the capital of Mizoram?
Kohima,What is the capital of Nagaland?
Bhubaneswar,What is the capital of Odisha?
Chandigarh,What is the capital of Punjab?
Jaipur,What is the capital of Rajasthan?
Gangtok,What is the capital of Sikkim?
Chennai,What is the capital of Tamil Nadu?
Hyderabad,What is the capital of Telangana?
Agartala,What is the capital of Tripura?
Lucknow,What is the capital of Uttar Pradesh?
Dehradun,What is the capital of Uttarakhand?
Kolkata,What is the capital of West Bengal?
